STT,ID_cau_VLSP,Nguon_ZH,Tham_chieu_VI,Ban_dich_He_A,Ban_dich_He_B
78,vi-zh-2022-test-0078,阮富仲说：“越共中央高度一致认为，要围绕越共十二届四中全会提出的四项任务和措施，更加配套、彻底地开展更多具体、切实的工作；同时补充和强调以下两项任务和措施：建设各级干部队伍特别是战略性干部队伍，及具备与任务相匹配的能力和威信的领导干部；坚决、坚持反腐倡廉，严惩违法干部”。,"Tổng bí thư Nguyễn Phú Trọng nêu rõ: Trung ương thống nhất cao phải tiến hành đồng bộ và quyết liệt hơn nữa nhiều công việc cụ thể, thiết thực, tập trung vào 4 nhóm nhiệm vụ, giải pháp mà Hội nghị Trung ương 4 khoá XII đã đề ra; đồng thời bổ sung nhấn mạnh thêm 2 nhóm nhiệm vụ, giải pháp là: Xây dựng đội ngũ cán bộ các cấp, nhất là cấp chiến lược và người đứng đầu đủ phẩm chất, năng lực và uy tín, ngang tầm nhiệm vụ; Kiên quyết, kiên trì đấu tranh phòng, chống tham nhũng, tiêu cực, xử lý nghiêm cán bộ sai phạm.","Tổng Bí thư Nguyễn Phú Trọng nói: ""Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam hoàn toàn nhất trí cho rằng, cần triển khai nhiều công việc cụ thể, thiết thực hơn nữa, đồng bộ, quyết liệt hơn nữa, tập trung vào 4 nhiệm vụ, giải pháp đã được đề ra tại Hội nghị Trung ương 4 khóa XII; đồng thời bổ sung, nhấn mạnh thêm 2 nhiệm vụ, giải pháp sau: xây dựng đội ngũ cán bộ các cấp, nhất là cán bộ chiến lược, cán bộ lãnh đạo có đủ phẩm chất, năng lực, uy tín, ngang tầm nhiệm vụ; kiên quyết, kiên trì đấu tranh phòng, chống tham nhũng, tiêu cực, xử lý nghiêm cán bộ sai phạm"".","Nguyễn Phú Trọng cho biết: “Trung ương Đảng Cộng sản Việt Nam nhất trí tin tưởng, cần phải tiến hành đồng bộ, xuyên suốt hơn nữa bốn nhiệm vụ, giải pháp do Hội nghị toàn thể lần thứ IV Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khóa XII đề ra, đồng thời bổ sung, nhấn mạnh hai nhiệm vụ, giải pháp sau: xây dựng đội ngũ cán bộ các cấp, nhất là đội ngũ cán bộ chiến lược và đội ngũ cán bộ lãnh đạo có năng lực, uy tín phù hợp với nhiệm vụ; kiên trì đấu tranh chống tham nhũng, đề cao liêm chính và trừng trị nghiêm khắc những cán bộ vi phạm pháp luật.”"
79,vi-zh-2022-test-0079,越共中央总书记阮富仲的讲话传递了越南党和国家在新冠肺炎疫情期间继续保障人民生计和健康的信息；也谈到了在今年余下的几个月和明年2022年恢复和发展经济的措施。,"Những chỉ dẫn trong phát biểu khai mạc Hội nghị của Tổng Bí thư Nguyễn Phú Trọng cho thấy thông điệp mạnh mẽ của Đảng và Nhà nước Việt Nam là tiếp tục đặt mục tiêu an toàn trước dịch bệnh Covid 19; đảm bảo sinh kế, sức khỏe của người dân; song song với đó là phục hồi và phát triển kinh tế trong những tháng còn lại của năm và kế hoạch cho năm 2022 tới.",Bài phát biểu của Tổng Bí thư Đảng Cộng sản Việt Nam Nguyễn Phú Trọng đã truyền tải thông điệp về việc Đảng và Nhà nước Việt Nam tiếp tục đảm bảo sinh kế và sức khỏe cho người dân trong bối cảnh dịch bệnh COVID-19; đồng thời đề cập đến các biện pháp phục hồi và phát triển kinh tế trong những tháng còn lại của năm nay và năm 2022.,"Bài phát biểu của Tổng Bí thư Trung ương Đảng Cộng sản Việt Nam Nguyễn Phú Trọng đã truyền tải thông điệp Đảng, Nhà nước Việt Nam sẽ tiếp tục bảo vệ sinh kế, sức khỏe của người dân trong đại dịch Covid-19; đồng thời bàn về các biện pháp phục hồi và phát triển nền kinh tế trong những tháng còn lại của năm nay và năm sau trong năm 2022."
80,vi-zh-2022-test-0080,河内市北慈廉郡古瑞坊居民杜氏川认为，阮富仲总书记在会上的讲话基于对当前面临的机遇和挑战的正确评估提出了新的发展方向。,"Bà Đỗ Thị Xuyến, phường Cổ Nhuế, Quận Bắc Từ Liêm, Hà Nội, cho rằng những đường hướng mà Tổng Bí thư Nguyễn Phú Trọng nêu ra trong phát biểu khai mạc Hội nghị dựa trên những nhận định đúng về những thời cơ và thách thức trong tình hình hiện nay.","Bà Đỗ Thị Xuyên, cư dân phường Cổ Nhuế, quận Bắc Từ Liêm, thành phố Hà Nội, nhận định rằng bài phát biểu của Tổng Bí thư Nguyễn Phú Trọng tại hội nghị đã đề ra những định hướng phát triển mới dựa trên đánh giá đúng đắn về những cơ hội và thách thức đang đối mặt.","Bà Đỗ Thị Tray, cư dân Qu Thụy Fong, quận Bắc Từ Liêm, TP Hà Nội, tin rằng bài phát biểu của Tổng Bí thư Nguyễn Phú Trọng tại cuộc họp đã đề xuất hướng phát triển mới trên cơ sở đánh giá đúng cơ hội, thách thức hiện nay."
81,vi-zh-2022-test-0081,阮富仲在第十三届中央委员会第四次会议上发表的讲话给我留下了非常深刻的印象，我个人高度评价总书记对疫情之下社会经济发展情况所做的评估。,"""Tôi rất tâm đắc với bài phát biểu của Tổng Bí thư Nguyễn Phú Trọng tại Hội nghị lần thứ 4, Ban chấp hành Trung ương khóa XIII， cá nhân tôi đánh giá cao những nhận định của Tổng Bí thư về tình hình kinh tế xã hội trước ảnh hưởng của đại dịch Covid- 19.","Bài phát biểu của Tổng Bí thư Nguyễn Phú Trọng tại Hội nghị lần thứ tư Ban Chấp hành Trung ương khóa XIII đã để lại cho tôi ấn tượng sâu sắc, cá nhân tôi đánh giá cao những nhận định của Tổng Bí thư về tình hình phát triển kinh tế - xã hội trong bối cảnh dịch bệnh.",Bài phát biểu của Nguyễn Phú Trọng tại kỳ họp thứ 4 Ban Chấp hành Trung ương khóa 13 để lại trong tôi ấn tượng rất sâu sắc. Cá nhân tôi đánh giá cao đánh giá của Tổng Bí thư về phát triển kinh tế - xã hội trong thời kỳ dịch bệnh.
82,vi-zh-2022-test-0082,作为一名党员，我个人对党和国家的主张政策和计划充满信心，并相信越南社会经济将及早稳定，恢复发展”。,"Là một đảng viên, bản thân tôi bày tỏ sự tin tưởng trước những chủ trương, chính sách, kế hoạch của Đảng, Nhà nước trong thời gian tới và tin tưởng rằng tình hình kinh tế -xã hội sẽ sớm ổn định phục hồi và có sự phát triển"".","Với tư cách là một đảng viên, tôi tin tưởng vào các chủ trương, chính sách và kế hoạch của Đảng và Nhà nước, đồng thời tin rằng kinh tế - xã hội Việt Nam sẽ sớm ổn định và phục hồi phát triển.","Với tư cách là một đảng viên, tôi tin tưởng vào các chủ trương, chính sách và kế hoạch của Đảng và Nhà nước, đồng thời tin rằng kinh tế - xã hội Việt Nam sẽ sớm ổn định và phục hồi phát triển."
83,vi-zh-2022-test-0083,所以我认为，在这波疫情之后，我们可以拟定更多方案。,Vì thế tôi nghĩ là tính dự báo sau đợt này chúng ta có thể xây dựng được nhiều kịch bản và các kịch bản đó sẽ không bị bất ngờ như sự bùng phát vừa rồi đã diễn ra.,"Vì vậy, tôi cho rằng sau đợt dịch này, chúng ta có thể đề ra nhiều phương án hơn.","Vì vậy tôi nghĩ rằng sau làn sóng dịch bệnh này, chúng ta có thể xây dựng thêm nhiều kế hoạch hơn."
84,vi-zh-2022-test-0084,基于对可能出现的各种情况的评估和分析，特别是对世界和越南疫情演变的研判，本次会议明确提出了新形势下防疫和恢复经济社会发展的主张和观点，旨在实现2021年经济社会发展目标。,"Trên cơ sở phân tích, dự báo các khả năng có thể xảy ra, nhất là tình hình dịch bệnh trên thế giới và ở Việt Nam trong thời gian tới, Hội nghị Trung ương lần này xác định rõ quan điểm, chủ trương về phòng, chống dịch bệnh và phục hồi, phát triển kinh tế - xã hội trong tình hình mới nhằm hoàn thành chỉ tiêu phát triển kinh tế xã hội năm 2021.","Dựa trên việc đánh giá và phân tích các tình huống có thể xảy ra, đặc biệt là nhận định về diễn biến dịch bệnh trên thế giới và tại Việt Nam, hội nghị đã đưa ra những chủ trương và quan điểm về công tác phòng chống dịch và phục hồi phát triển kinh tế - xã hội trong bối cảnh mới, nhằm thực hiện mục tiêu phát triển kinh tế - xã hội năm 2021.","Trên cơ sở đánh giá, phân tích nhiều tình huống có thể xảy ra, đặc biệt là nghiên cứu, nhận định diễn biến dịch bệnh trên thế giới và Việt Nam, kỳ họp lần này đề xuất rõ ràng các ý tưởng, quan điểm về phòng chống dịch bệnh và khôi phục phát triển kinh tế, xã hội trong tình hình mới, hướng tới đạt được các mục tiêu phát triển kinh tế, xã hội năm 2021."
85,vi-zh-2022-test-0085,此外，会议还提出了总体、基本和重要目标以及方向、主张、政策、任务、方案和2022年的具体实施方案和路线图，均符合实际，具有较高可行性，为从现在到2021年底和2022年全年集中领导和指导打下前提。,"Hội nghị cũng đề ra mục tiêu tổng quát, các chỉ tiêu cơ bản, quan trọng nhất; các định hướng, chủ trương, chính sách, nhiệm vụ, giải pháp và kế hoạch, lộ trình triển khai thực hiện cụ thể cho năm 2022, bảo đảm sát với thực tiễn, có tính khả thi cao để tập trung lãnh đạo, chỉ đạo thực hiện từ nay đến cuối năm 2021 và trong cả năm 2022.","Ngoài ra, hội nghị còn đề ra các mục tiêu tổng quát, cơ bản và quan trọng cùng với phương hướng, chủ trương, chính sách, nhiệm vụ, kế hoạch và lộ trình thực hiện cụ thể cho năm 2022, đều phù hợp với thực tế và có tính khả thi cao, tạo tiền đề cho việc tập trung lãnh đạo, chỉ đạo từ nay đến cuối năm 2021 và cả năm 2022.","Ngoài ra, kỳ họp cũng đề xuất các mục tiêu tổng thể, cơ bản, quan trọng cũng như các phương hướng, đề xuất, chính sách, nhiệm vụ, kế hoạch và kế hoạch, lộ trình thực hiện cụ thể cho năm 2022 đều có tính thực tế và khả thi cao, làm tiền đề cho sự lãnh đạo, chỉ đạo tập trung từ nay đến cuối năm 2021 và trong suốt năm 2022."
86,vi-zh-2022-test-0086,中央会议传递的正确信息体现了党意民心和在新形势下建设和发展国家的决心。,"Những thông điệp đúng đắn từ Hội nghị Trung ương lần thể hiện ý Đảng, lòng dân, quyết tâm vì mục tiêu xây dựng và phát triển đất nước trong tình hình mới.","Thông điệp chính xác được truyền tải từ hội nghị trung ương thể hiện sự đồng lòng của Đảng và nhân dân, cùng quyết tâm xây dựng và phát triển đất nước trong bối cảnh mới.",Thông điệp đúng đắn của Trung ương Đảng thể hiện ý chí của Đảng và quyết tâm của nhân dân xây dựng và phát triển đất nước trong tình hình mới.
87,vi-zh-2022-test-0087,越南从“零新冠”目标转向适应、与疫情安全共处目标，为开放、逐步恢复经济创造条件。,"Theo đó, chuyển mục tiêu “không ca mắc” (Zero Covid) sang mục tiêu thích ứng và chung sống an toàn với dịch bệnh, tạo điều kiện mở cửa và từng bước khôi phục hoạt động kinh tế.","Việt Nam chuyển đổi từ mục tiêu ""không COVID"" sang mục tiêu thích ứng, sống an toàn với dịch bệnh, tạo điều kiện mở cửa, phục hồi kinh tế dần dần.","Việt Nam đã chuyển từ mục tiêu “không có Covid-19” sang mục tiêu thích ứng và chung sống an toàn với dịch bệnh, tạo điều kiện mở cửa và từng bước vực dậy nền kinh tế."
88,vi-zh-2022-test-0088,安全适应，为随时开放、恢复经济做准备,"Thích ứng an toàn, sẵn sàng mở cửa và khôi phục hoạt động kinh tế",Chuẩn bị sẵn sàng để mở cửa và phục hồi kinh tế bất cứ lúc nào.,"Thích ứng an toàn và chuẩn bị mở cửa, phục hồi nền kinh tế bất cứ lúc nào"
89,vi-zh-2022-test-0089,越南卫生部卫生环境管理局局长阮氏莲香表示，安全适应意味着不追求零新增目标，而允许社区存在一定数量的病例，但须保障人民生命安全，继续发展经济社会及人民日常活动。,"Theo Phó Giáo sư, Tiến sỹ Nguyễn Thị Liên Hương, Cục trưởng Cục Quản lý môi trường y tế - Bộ Y tế, thích ứng an toàn có nghĩa là không theo đuổi mục tiêu không có ca mắc Covid-19, mà chấp nhận có số ca mắc nhất định trong cộng đồng, nhưng phải đảm bảo an toàn tính mạng người dân và tiếp tục các hoạt động phát triển kinh tế xã hội, hoạt động sinh hoạt của người dân.","Bà Nguyễn Thị Liên Hương, Cục trưởng Cục Quản lý Môi trường Y tế, Bộ Y tế Việt Nam, cho biết thích ứng an toàn có nghĩa là không theo đuổi mục tiêu không có ca nhiễm mới, mà cho phép cộng đồng có một số lượng ca bệnh nhất định, nhưng phải đảm bảo an toàn tính mạng cho người dân, tiếp tục phát triển kinh tế xã hội và các hoạt động thường nhật của người dân.","Bà Nguyễn Thị Liên Hương, Cục trưởng Cục Quản lý Y tế và Môi trường, Bộ Y tế Việt Nam, cho rằng thích ứng an toàn có nghĩa là không theo đuổi mục tiêu không có ca nhiễm mới mà cho phép một số ca nhiễm nhất định trong cộng đồng nhưng phải đảm bảo an toàn tính mạng người dân và tiếp tục phát triển kinh tế, xã hội và sinh hoạt của người dân."
90,vi-zh-2022-test-0090,检测速度要快、科学、合理。,"Còn xét nghiệm là phải thần tốc, khoa học, hợp lý và hiệu quả.","Tốc độ kiểm tra cần nhanh chóng, khoa học và hợp lý.","Tốc độ phát hiện phải nhanh, khoa học và hợp lý."
91,vi-zh-2022-test-0091,重新开放经济是迫切要求，但范明政要求慎重、有序开放并制定适合、有效的路线图，在各地逐步、灵活实施，确保开放与安全的平衡。,"Khẳng định việc mở cửa trở lại nền kinh tế là yêu cầu cấp bách, song Thủ tướng đồng thời lưu ý việc mở cửa phải thận trọng, có kế hoạch, lộ trình phù hợp, hiệu quả, thực hiện từng bước và linh hoạt áp dụng cho từng địa phương, bảo đảm hài hòa giữa mở cửa và an toàn dịch bệnh.","Việc mở cửa lại nền kinh tế là yêu cầu cấp thiết, nhưng Phạm Minh Chính yêu cầu mở cửa một cách thận trọng, có trật tự và xây dựng lộ trình phù hợp, hiệu quả, triển khai từng bước, linh hoạt tại các địa phương, đảm bảo cân bằng giữa mở cửa và an toàn.","Mở cửa lại nền kinh tế là yêu cầu cấp bách, nhưng Fan Mingzheng yêu cầu mở cửa thận trọng, có trật tự và xây dựng lộ trình phù hợp, hiệu quả, có thể thực hiện từng bước, linh hoạt ở nhiều nơi để đảm bảo cân bằng giữa mở cửa và an ninh."
92,vi-zh-2022-test-0092,随时开放、恢复经济活动,"Sẵn sàng mở cửa, khôi phục hoạt động kinh tế","Mở cửa mọi lúc, khôi phục hoạt động kinh tế",Mở cửa và tiếp tục các hoạt động kinh tế bất cứ lúc nào
93,vi-zh-2022-test-0093,越南已经并继续是外国投资者的目的地。,"Việt Nam đã, đang và sẽ tiếp tục là điểm đến hàng đầu của các nhà đầu tư quốc tế",Việt Nam đã và tiếp tục là điểm đến của các nhà đầu tư nước ngoài.,Việt Nam đã và đang tiếp tục là điểm đến của các nhà đầu tư nước ngoài.
94,vi-zh-2022-test-0094,建党整党一直是党的核心任务并具有至关重要的意义。,"Việc xây dựng, chỉnh đốn Đảng luôn luôn là nhiệm vụ then chốt, đặc biệt quan trọng, có ý nghĩa sống còn đối với Đảng và chế độ.",Việc xây dựng và chỉnh đốn Đảng luôn là nhiệm vụ cốt lõi và có ý nghĩa vô cùng quan trọng của Đảng.,"Xây dựng Đảng, củng cố Đảng luôn là nhiệm vụ cốt lõi của Đảng và có ý nghĩa sống còn."
95,vi-zh-2022-test-0095,进而，正确评估情况和查明原因；明确每个目标、观点、指导思想、主张以及符合每个内容和问题的措施，特别是本任期内具有突破性的解决方案”。,"Từ đó, đánh giá đúng tình hình và nguyên nhân; xác định rõ mục tiêu, quan điểm, tư tưởng chỉ đạo và những chủ trương, biện pháp phù hợp đối với từng nội dung, vấn đề, nhất là những giải pháp có tính đột phá trong nhiệm kỳ này”.","Tiếp theo, đánh giá đúng tình hình và làm rõ nguyên nhân; xác định rõ từng mục tiêu, quan điểm, tư tưởng chỉ đạo, chủ trương cũng như các biện pháp phù hợp với từng nội dung và vấn đề, đặc biệt là các giải pháp đột phá trong nhiệm kỳ này.","Sau đó, đánh giá đúng thực trạng và xác định nguyên nhân; làm rõ từng mục tiêu, quan điểm, tư tưởng chỉ đạo, chủ trương, biện pháp phù hợp với từng nội dung, vấn đề, đặc biệt là những giải pháp đột phá trong nhiệm kỳ này.”"
96,vi-zh-2022-test-0096,越共十二届四中全会决议准确抓住了问题，正确评估了现状，发挥了整个政治体系和全国人民的综合力量，配套、有效采取各项措施，斗争并防止、遏制堕落现象、“自我演变”和“自我转化”表现，巩固了人民对党的信心。,"Nghị quyết Trung ương 4 (khóa XII) đã lựa chọn vấn đề, đánh giá đúng thực trạng, phát huy sức mạnh tổng hợp của cả hệ thống chính trị, của nhân dân thực hiện đồng bộ các giải pháp để đấu tranh ngăn chặn, đẩy lùi sự suy thoái, ""tự diễn biến"", ""tự chuyển hoá"" có hiệu quả, củng cố niềm tin của nhân dân đối với Đảng.","Nghị quyết Hội nghị Trung ương 4 khóa XII của Đảng Cộng sản Việt Nam đã nắm bắt chính xác vấn đề, đánh giá đúng thực trạng, phát huy sức mạnh tổng hợp của toàn hệ thống chính trị và nhân dân cả nước, đồng bộ, hiệu quả các biện pháp đấu tranh, ngăn chặn, đẩy lùi suy thoái tư tưởng chính trị, đạo đức, lối sống, ""tự diễn biến"", ""tự chuyển hóa"", củng cố niềm tin của nhân dân vào Đảng.","Nghị quyết Hội nghị toàn thể lần thứ IV Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khóa XII đã quán triệt đúng vấn đề, đánh giá đúng tình hình hiện nay, phát huy sức mạnh toàn diện của cả hệ thống chính trị và nhân dân cả nước, phối hợp và triển khai có hiệu quả các giải pháp đấu tranh, ngăn chặn, kiềm chế hiện tượng thoái hóa, “tự diễn biến”, “tự chuyển hóa”, củng cố niềm tin của nhân dân vào Đảng."
97,vi-zh-2022-test-0097,胡志明国家政治学院党建研究院前院长阮明俊评价称：“批评工作提升到新的高点，即对敏感问题、具体问题、明显表现进行批评。,"Phó Giáo sư, Tiến sỹ Nguyễn Minh Tuấn, nguyên Viện trưởng Viện Xây dựng Đảng, Học viện Chính trị Quốc gia Hồ Chí Minh, đánh giá: “Phê bình đã ở mức cao hơn, tức là phê bình việc rất nhạy cảm.","Nguyên viện trưởng Viện Xây dựng Đảng, Học viện Chính trị Quốc gia Hồ Chí Minh, ông Nguyễn Minh Tuấn nhận định: ""Công tác phê bình đã nâng lên một tầm cao mới, đó là phê bình những vấn đề nhạy cảm, những vấn đề cụ thể, những biểu hiện rõ ràng.""","Nguyễn Minh Tuân, nguyên Viện trưởng Viện Nghiên cứu Xây dựng Đảng, Viện Khoa học Chính trị Quốc gia Hồ Chí Minh, nhận xét: “Công tác phê bình đã được nâng lên một tầm cao mới, đó là phê phán những vấn đề nhạy cảm, những vấn đề cụ thể, biểu hiện rõ ràng."
98,vi-zh-2022-test-0098,越共十二届四中全会决议完善了解决党建工作紧迫问题所需的机制。,"Với Nghị quyết Trung ương 4 (khóa XII), những vấn đề cấp bách của công tác xây dựng Đảng được hoàn thiện thể chế.",Nghị quyết Hội nghị Trung ương 4 khóa XII Đảng Cộng sản Việt Nam đã hoàn thiện cơ chế cần thiết để giải quyết các vấn đề cấp bách trong công tác xây dựng Đảng.,Nghị quyết Hội nghị toàn thể lần thứ 4 Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khóa 12 đã hoàn thiện các cơ chế cần thiết để giải quyết những vấn đề bức xúc trong công tác xây dựng Đảng.
99,vi-zh-2022-test-0099,此前，没有一次中央全体会议曾通过那么多关于干部工作的规定和流程。,"Chưa có nhiệm kỳ nào Trung ương lại ban hành mới nhiều quy định, quy trình trong công tác cán bộ.","Trước đây, chưa từng có một kỳ họp toàn thể trung ương nào thông qua nhiều quy định và quy trình về công tác cán bộ đến vậy.","Trước đây, chưa có hội nghị toàn thể trung ương nào thông qua nhiều quy định, thủ tục về công tác cán bộ như vậy."
100,vi-zh-2022-test-0100,多个党委、党组织、干部、党员的违规行为受到了处理，不管违规者是谁、从事什么工作、已经调去担任什么职务或者已经退休。,"Nhiều vi phạm của cấp ủy, tổ chức Đảng, của cán bộ, đảng viên, bất kể người đó là ai, trong lĩnh vực nào dần được xử lý nghiêm khắc, dứt điểm, nhiều cán bộ, đảng viên vi phạm vẫn bị xử lý dù đã chuyển công tác hay nghỉ hưu.","Nhiều hành vi vi phạm quy định của các đảng ủy, tổ chức đảng, cán bộ, đảng viên đã bị xử lý, bất kể người vi phạm là ai, làm công việc gì, đã được điều chuyển giữ chức vụ gì hay đã nghỉ hưu.","Các hành vi vi phạm của nhiều cấp ủy, tổ chức đảng, cán bộ, đảng viên đều bị xử lý bất kể người vi phạm là ai, giữ chức vụ gì, được điều động đến chức vụ nào, đã nghỉ hưu hay chưa."
101,vi-zh-2022-test-0101,十二届任期内处分了110名中央管理干部。,Chỉ tính riêng trong nhiệm kỳ khóa XII đã thi hành kỷ luật hơn 110 cán bộ thuộc diện Trung ương quản lý.,"Trong nhiệm kỳ thứ mười hai, đã xử lý kỷ luật 110 cán bộ thuộc diện quản lý của Trung ương.","Trong nhiệm kỳ thứ 12, 110 cán bộ quản lý trung ương bị kỷ luật."
102,vi-zh-2022-test-0102,他此次美国之行旨在具体化欧盟与美国领导人于今年6月在美欧峰会上达成的协议，为双方于11月签署贸易协议迈出重要一步，同时也释放愿继续恢复两个战略盟友之间的跨大西洋关系的善意。,Ủy viên Thương mại Liên minh châu Âu (EU) Valdis Dombrovskis có chuyến thăm Mỹ từ 26/9 - 01/10.,"Chuyến thăm Hoa Kỳ lần này của ông nhằm cụ thể hóa các thỏa thuận đã đạt được giữa Liên minh châu Âu và Hoa Kỳ tại hội nghị thượng đỉnh Mỹ-Âu vào tháng 6 năm nay, tạo một bước tiến quan trọng cho việc ký kết hiệp định thương mại giữa hai bên vào tháng 11, đồng thời thể hiện thiện chí tiếp tục khôi phục mối quan hệ xuyên Đại Tây Dương giữa hai đồng minh chiến lược.","Chuyến đi Mỹ của ông nhằm cụ thể hóa thỏa thuận mà các nhà lãnh đạo Liên minh châu Âu và Mỹ đạt được tại hội nghị thượng đỉnh Mỹ-EU hồi tháng 6 năm nay, tiến một bước quan trọng hướng tới việc ký kết thỏa thuận thương mại vào tháng 11, đồng thời thể hiện thiện chí trong việc tiếp tục khôi phục mối quan hệ xuyên Đại Tây Dương giữa hai đồng minh chiến lược."
103,vi-zh-2022-test-0103,扩大和加强贸易-投资关系,Mở rộng và củng cố quan hệ thương mại - đầu tư,Mở rộng và tăng cường quan hệ thương mại - đầu tư,Mở rộng và tăng cường quan hệ thương mại - đầu tư
104,vi-zh-2022-test-0104,该委员会旨在讨论跨大西洋联盟正面临的一些主要经济和技术挑战。,Việc thành lập Hội đồng nhằm thảo luận về một số thách thức kinh tế và công nghệ lớn mà liên minh xuyên Đại Tây Dương này đang phải đối mặt.,Ủy ban này nhằm mục đích thảo luận về một số thách thức kinh tế và công nghệ chính mà liên minh xuyên Đại Tây Dương đang đối mặt.,Ủy ban nhằm mục đích thảo luận về một số thách thức kinh tế và công nghệ chính mà liên minh xuyên Đại Tây Dương phải đối mặt.
105,vi-zh-2022-test-0105,此外，该机制将协商解决贸易争端，合理化法律程序，并为大西洋两岸的新兴科技公司制定共同规则。,"Ngoài ra, cơ chế này sẽ tham vấn giải quyết mâu thuẫn thương mại, hợp lý hóa các thủ tục pháp lý và phát triển quy tắc chung đối với các công ty công nghệ mới nổi ở hai bên bờ Đại Tây Dương.","Ngoài ra, cơ chế này sẽ giải quyết tranh chấp thương mại thông qua thương lượng, hợp lý hóa các quy trình pháp lý và thiết lập các quy tắc chung cho các công ty công nghệ mới nổi ở cả hai bờ Đại Tây Dương.","Ngoài ra, cơ chế này sẽ đàm phán giải quyết các tranh chấp thương mại, hợp lý hóa các thủ tục pháp lý và thiết lập các quy tắc chung cho các công ty công nghệ mới nổi ở cả hai bờ Đại Tây Dương."
106,vi-zh-2022-test-0106,欧洲对此迅速做出反应，对哈雷戴维森摩托车、李维斯牛仔裤、烟草、玉米、大米和橙汁等美输欧商品加征关税。,"Phía châu Âu nhanh chóng phản ứng bằng cách đánh thuế vào các mặt hàng nhập khẩu của Mỹ vào EU như xe máy Harley-Davidson, quần jeans Levi's, thuốc lá, ngô, gạo, nước cam.","Châu Âu đã nhanh chóng phản ứng bằng cách áp thuế đối với các mặt hàng xuất khẩu của Mỹ sang châu Âu như xe máy Harley-Davidson, quần jeans Levi's, thuốc lá, ngô, gạo và nước cam.","Châu Âu phản ứng nhanh chóng và áp đặt thuế bổ sung đối với hàng hóa Mỹ xuất khẩu sang châu Âu, bao gồm xe máy Harley-Davidson, quần jean Levi's, thuốc lá, ngô, gạo và nước cam."
107,vi-zh-2022-test-0107,虽然面临不少不利情况，但截至目前可以看到越南的力量和发展条件仍然得到维持.,Mặc dù gặp phải rất nhiều bất lợi nhưng cho đến nay có thể thấy nội lực và điều kiện phát triển của Việt Nam vẫn được duy trì,"Mặc dù đối mặt với nhiều tình huống bất lợi, nhưng cho đến nay có thể thấy sức mạnh và điều kiện phát triển của Việt Nam vẫn được duy trì.",Dù phải đối mặt với nhiều tình huống bất lợi nhưng đến nay có thể thấy sức mạnh và điều kiện phát triển của Việt Nam vẫn được duy trì.
108,vi-zh-2022-test-0108,近日的国际舆论表明，新冠肺炎疫情无法击败越南，因为越南的内部力量强大，居民区资源强大，拥有近一亿充满活力的活跃人口。,"Dư luận quốc tế những ngày này chỉ ra rằng đại dịch COVID-19 không thể đánh bại Việt Nam do Việt Nam có nội lực mạnh với một cộng đồng dân cư đông, gần 100 triệu dân đầy sức sống, năng động.","Dư luận quốc tế gần đây cho thấy đại dịch COVID-19 không thể đánh bại Việt Nam, bởi Việt Nam có nội lực mạnh, nguồn lực khu dân cư dồi dào, cùng với gần một trăm triệu dân số năng động, đầy sức sống.","Dư luận quốc tế gần đây cho thấy, dịch Covid-19 không thể đánh bại Việt Nam bởi Việt Nam có nội lực vững mạnh, nguồn lực dân cư vững mạnh và dân số sôi động, năng động với gần 100 triệu người."
109,vi-zh-2022-test-0109,越南的中产阶级正迅速增加，他们的收入日益增加有助于促进国内消费。,"Tầng lớp trung lưu của Việt Nam gia tăng nhanh chóng , thu nhập của họ ngày càng tăng , có lợi cho tiêu dùng trong nước","Tầng lớp trung lưu ở Việt Nam đang gia tăng nhanh chóng, thu nhập ngày càng tăng của họ góp phần thúc đẩy tiêu dùng nội địa.",Tầng lớp trung lưu của Việt Nam đang phát triển nhanh chóng và thu nhập ngày càng tăng của họ đang giúp thúc đẩy tiêu dùng trong nước.
110,vi-zh-2022-test-0110,据科技考察和咨询公司（Technavio）称，2020年至2024年间，越南半导体产业将以19%的年复合增长率增长，约61.6亿美元。,"Theo công ty khảo sát và tư vấn công nghệ Technavio, ngành công nghiệp bán dẫn của Việt Nam sẽ tăng trưởng với tốc độ kép hàng năm là 19%, tương đương khoảng 6,16 tỷ đô la trong khoảng thời gian từ 2020-2024.","Theo công ty nghiên cứu và tư vấn công nghệ Technavio, ngành công nghiệp bán dẫn Việt Nam sẽ tăng trưởng với tốc độ tăng trưởng kép hàng năm là 19% trong giai đoạn 2020-2024, đạt khoảng 6,16 tỷ USD.","Theo công ty tư vấn và giám định công nghệ (Technavio), ngành bán dẫn Việt Nam sẽ tăng trưởng với tốc độ tăng trưởng kép hàng năm là 19% từ năm 2020 đến năm 2024, xấp xỉ 6,16 tỷ USD."
